FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.0003946329913180742,0.99995303
0.0,0.007103393843725336,0.9997693
0.0,0.008287292817679558,0.9997688
0.0,0.013417521704814523,0.99970347
0.0,0.014601420678768745,0.9997009
0.0,0.023283346487766376,0.99959904
0.0,0.024072612470402526,0.99959594
0.0,0.0244672454617206,0.99959093
0.0,0.025256511444356748,0.99958366
0.0,0.04301499605367009,0.99926704
0.0,0.04380426203630623,0.9992481
0.0,0.058011049723756904,0.99898106
0.0,0.058800315706393054,0.9989753
0.0,0.05998421468034728,0.9989629
0.0,0.0611681136543015,0.99895144
0.0,0.06471981057616416,0.998877
4.939491232403063e-05,0.06471981057616416,0.99886775
4.939491232403063e-05,0.07063930544593527,0.99870455
4.939491232403063e-05,0.07142857142857142,0.99870133
4.939491232403063e-05,0.07379636937647988,0.99868065
4.939491232403063e-05,0.07458563535911603,0.99867624
4.939491232403063e-05,0.08011049723756906,0.9985721
4.939491232403063e-05,0.08129439621152329,0.99855834
4.939491232403063e-05,0.08208366219415943,0.9985039
4.939491232403063e-05,0.08366219415943173,0.99848795
4.939491232403063e-05,0.08879242304656669,0.9983839
4.939491232403063e-05,0.08997632202052092,0.9983797
4.939491232403063e-05,0.09037095501183899,0.99837035
4.939491232403063e-05,0.09116022099447514,0.9983688
4.939491232403063e-05,0.09155485398579322,0.9983646
4.939491232403063e-05,0.0931333859510655,0.9983607
4.939491232403063e-05,0.09431728492501973,0.99832875
9.878982464806126e-05,0.09431728492501973,0.99828666
9.878982464806126e-05,0.09550118389897395,0.99827135
9.878982464806126e-05,0.09668508287292818,0.9982652
9.878982464806126e-05,0.10576164167324388,0.99809104
9.878982464806126e-05,0.10655090765588003,0.99809045
9.878982464806126e-05,0.11089187056037884,0.99799514
9.878982464806126e-05,0.111681136543015,0.9979849
9.878982464806126e-05,0.11247040252565114,0.99794906
9.878982464806126e-05,0.1132596685082873,0.9979358
9.878982464806126e-05,0.12312549329123915,0.9976369
9.878982464806126e-05,0.1239147592738753,0.99763334
9.878982464806126e-05,0.12588792423046566,0.997593
0.00014818473697209188,0.12588792423046566,0.9975782
0.00014818473697209188,0.1266771902131018,0.99756384
0.00014818473697209188,0.13022888713496447,0.9974788
0.00014818473697209188,0.13101815311760062,0.99744946
0.00014818473697209188,0.13812154696132597,0.9971595
